Club,Town or City,Total Seasons,Total Spells,Longest Spell,Last Promotion,Last Relegation,Total Seasons Absent ,Seasons,Most Recent Finish,Highest Finish,Top Scorer
Arsenal,London Borough of Islington,23,1,23,1914?15[2],Never Relegated,0,1992 - ,4th,1st,Thierry Henry(175)[3]
Aston Villa,"Aston,Birmingham",23,1,23,1987?88,Never Relegated,0,1992 - ,15th,2nd,Gabriel Agbonlahor(69)[4]
Barnsley,Barnsley,1,1,1,1996?97,1997?98,22,1997 - 1998,Championship 23rd(relegated),19th (relegated),Neil Redfearn(10)
Birmingham City,Birmingham,7,3,4,2008?09,2010?11,16,"2002 - 2006, 2007 - 2008, 2009 - 2011",Championship 21st,9th,Mikael Forssellˇ(29)
Blackburn Rovers,Blackburn,18,2,11,2000?01,2011?12,5,"1992 - 1999, 2001 - 2012",Championship 8th,1st,Alan Shearer(112)
Blackpool,Blackpool,1,1,1,2009?10,2010?11,22,2010 - 2011,Championship 20th,19th (relegated),DJ Campbell(13)
Bolton Wanderers,"Horwich, Bolton",13,3,11,2000?01,2011?12,10,"1995 - 1996, 1997 - 1998, 2001 - 2012",Championship 14th,6th,Kevin Davies(68)
Bradford City,Bradford,2,1,2,1998?99,2000?01,21,1999 - 2001,League One 11th,17th,Dean Windass(10)
Burnley,Burnley,2,2,1,2013?14,2009?10,21,"2009 - 2010, 2014 - ","Championship, 2nd(promoted)",18th (relegated),Steven Fletcherˇ(8)
Cardiff City,"Cardiff,ˇWales",1,1,1,2012?13,2013?14,22,2013 - 2014,20th(relegated),20th (relegated),Fraizer Campbellˇ(6)
Charlton Athletic,London Borough of Greenwich,8,2,7,1999?2000,2006?07,15,"1998 - 1999, 2000 - 2007",Championship 18th,7th,Jason Euell(34)
Chelsea,London Borough of Hammersmith and Fulham,23,1,23,1988?89,Never Relegated,0,1992 - ,3rd,1st,Frank Lampard(147)
Coventry City,Coventry,9,1,9,1966?67,2000?01,14,1992 - 2001,League One 18th,11th,Dion Dublin(61)
Crystal Palace,London Borough of Croydon,6,5,2,2012?13,2004?05,17,"1992 - 1993, 1994 - 1995, 1997 - 1998, 2004 - 2005, 2013 - ",11th,11th,Chris Armstrong(23)
Derby County,Derby,7,2,6,2006?07,2007?08,16,"1996 - 2002, 2007 - 2008","Championship, 3rd",8th,Dean Sturridge(32)
Everton,Liverpool,23,1,23,1953?54,Never Relegated,0,1992 - ,5th,4th,Duncan Ferguson(60)
Fulham,London Borough of Hammersmith and Fulham,13,1,13,2000?01,2013?14,10,2001 - 2014,19th(relegated),7th,Clint Dempsey(50)
Hull City,Kingston upon Hull,4,2,2,2012?13,2009?10,19,"2008 - 2010, 2013 - ",16th,16th,Geovanni(11)
Ipswich Town,Ipswich,5,2,3,1999?2000,2001?02,18,"1992 - 1995, 2000 - 2002",Championship 9th,5th,Marcus Stewartˇ(25)
Leeds United,Leeds,12,1,12,1989?90,2003?04,11,1992 - 2004,Championship 15th,3rd,Mark Viduka(59)
Leicester City,Leicester,9,4,6,2013?14,2003?04,14,"1994 - 1995, 1996 - 2002, 2003 - 2004, 2014 - ",Championship 1st(promoted),8th,"Emile Heskeyˇ(33), Muzzy Izzet(33)"
Liverpool,Liverpool,23,1,23,1961?62,1953?54,0,1992 - ,2nd,2nd,Robbie Fowlerˇ(128)
Manchester City,Manchester,18,3,13,2001?02,2000?01,5,"1992 - 1996, 2000 - 2001, 2002 - ",1st,1st,Sergio AgÅeroˇ(64)
Manchester United,"Trafford,Greater Manchester",23,1,23,1974?75,1973?74,0,1992 - ,7th,1st,Wayne Rooney(161)
Middlesbrough,Middlesbrough,14,3,11,1997?98,2008?09,9,"1992 - 1993, 1995 - 1997, 1998 - 2009",Championship 12th,7th,Hamilton Ricardˇ(31)
Newcastle United,Newcastle upon Tyne,21,2,16,2009?10,2008?09,2,"1993 - 2009, 2010 - ",10th,2nd,Alan Shearer(148)
Norwich City,Norwich,7,3,3,2010?11,2013?14,16,"1992 - 1995, 2004 - 2005, 2011 - 2014",18th(relegated),3rd,Chris Sutton(33)
Nottingham Forest,West Bridgford,5,3,3,1997?98,1998?99,18,"1992 - 1993, 1994 - 1997, 1998 - 1999",Championship 11th,3rd,Bryan Roy(24)
Oldham Athletic,Oldham,2,1,2,1990?91,1993?94,21,1992 - 1994,League One 15th,19th,Graeme Sharpˇ(16)
Portsmouth,Portsmouth,7,1,7,2002?03,2009?10,16,2003 - 2010,League Two 13th,8th,Yakubuˇ(28)
Queens Park Rangers,London Borough of Hammersmith & Fulham,7,3,4,2013?14,2012?13,16,"1992 - 1996, 2011 - 2013, 2014 - ",Championship 4th(promoted),5th,Les Ferdinand(60)
Reading,Reading,3,2,2,2011?12,2012?13,20,"2006 - 2008, 2012 - 2013",Championship 7th,8th,Kevin Doyle(19)
Sheffield United,Sheffield,3,2,2,2005?06,2006?07,20,"1992 - 1994, 2006 - 2007",League One 7th,14th,Brian Deane(14)
Sheffield Wednesday,Sheffield,8,1,8,1990?91,1999?00,15,1992 - 2000,Championship 16th,7th,Mark Bright(48)
Southampton,Southampton,16,2,13,2011?12,2004?05,7,"1992 - 2005, 2012 - ",8th,8th,Matt Le Tissierˇ(101)
Stoke City,Stoke-on-Trent,7,1,7,2007?08,1998,16,2008 - ,9th,9th,Peter Crouchˇ(27)
Sunderland,Sunderland,14,4,8,2006?07,2005?06,9,"1996 - 1997, 1999 - 2003, 2005 - 2006, 2007 - ",14th,7th,Kevin Phillipsˇ(61)
Swansea City,"Swansea,ˇWales",4,1,4,2010?11,Never Relegated,19,2011 - ,12th,9th,Michuˇ(20)
Swindon Town,Swindon,1,1,1,1992?93,1993?94,22,1993 - 1994,League One 8th,22nd (relegated),Jan ège Fj?rtoftˇ(12)
Tottenham Hotspur,London Borough of Haringey,23,1,23,1977?78,Never Relegated,0,1992 - ,6th,4th,Teddy Sheringham(98)
Watford,Watford,2,2,1,2005?06,2006?07,21,"1999 - 2000, 2006 - 2007",Championship 13th,20th (relegated),Hei?ar Helgusonˇ(6)
West Bromwich Albion,West Bromwich,9,4,5,2009?10,2008?09,14,"2002 - 2003, 2004 - 2006, 2008 - 2009, 2010 - ",17th,8th,Peter Odemwingie(30)
West Ham United,London Borough of Newham,19,3,10,2011?12,2010?11,4,"1993 - 2003, 2005 - 2011, 2012 - ",13th,5th,Paolo Di Canioˇ(48)
Wigan Athletic,Wigan,8,1,8,2004?05,2012?13,15,2005 - 2013,Championship 5th,10th,Hugo Rodallega(24)
Wimbledonˇ[5],London Borough of Merton,8,1,8,1985?86,1999?00,15,1992 - 2000,Defunct (2003?04),6th,Dean Holdsworth(58)
Wolverhampton Wanderers,Wolverhampton,4,2,3,2008?09,2011?12,19,"2003 - 2004, 2009 - 2012",League One 1st(promoted),15th,Steven Fletcherˇ(22)
